name,number
서울특별시,184847
부산광역시,72157
대구광역시,63863
인천광역시,102454
광주광역시,28820
대전광역시,31114
울산광역시,22310
세종특별자치시,12505
경기도,288630
강원도,31461
충청북도,33601
충청남도,41799
전라북도,32795
전라남도,44483
경상북도,47470
경상남도,66430
제주특별자치도,53554



