name,number
서울특별시,47407
부산광역시,14597
대구광역시,13519
인천광역시,15042
광주광역시,6999
대전광역시,6424
울산광역시,5476
세종특별자치시,1787
경기도,62514
강원도,7061
충청북도,6839
충청남도,9001
전라북도,7606
전라남도,7973
경상북도,10946
경상남도,15279
제주특별자치도,11892




