name,number
서울특별시,65586
부산광역시,19295
대구광역시,19544
인천광역시,22177
광주광역시,9516
대전광역시,8863
울산광역시,7393
세종특별자치시,2974
경기도,88949
강원도,9657
충청북도,9332
충청남도,12164
전라북도,10038
전라남도,10802
경상북도,14927
경상남도,19678
제주특별자치도,16449


