name,number
서울특별시,108029
부산광역시,31919
대구광역시,37713
인천광역시,43530
광주광역시,15998
대전광역시,15786
울산광역시,12039
세종특별자치시,6533
경기도,154765
강원도,16593
충청북도,16699
충청남도,21012
전라북도,16888
전라남도,18771
경상북도,25857
경상남도,31057
제주특별자치도,30981



