name,number
서울특별시,86289
부산광역시,24945
대구광역시,28607
인천광역시,32042
광주광역시,12600
대전광역시,12112
울산광역시,9412
세종특별자치시,4591
경기도,121031
강원도,12930
충청북도,12732
충청남도,16092
전라북도,13272
전라남도,14346
경상북도,19808
경상남도,24672
제주특별자치도,24467



